Title,Session ID,SessionLoc,Session Type,Session URL
ED12. Measuring Structural and Social Determinants of Health in Cancer Research,485,Room 6 DE - Upper Level - Convention Center,Educational Session,https://www.abstractsonline.com/pp8/#!/20272/session/485
"ED22. Determinants and Meanings of T Cell Recognition, Exhaustion, and Persistence",523,Ballroom 20 AB - Upper Level - Convention Center,Educational Session,https://www.abstractsonline.com/pp8/#!/20272/session/523
ED33. What is the State of the Art in Functional Precision Medicine?,535,Ballroom 20 CD - Upper Level - Convention Center,Educational Session,https://www.abstractsonline.com/pp8/#!/20272/session/535
ED43. Models to Study the Tumor Microenvironment Accounting for Cancer Health Disparities,511,Ballroom 6 B - Upper Level - Convention Center,Educational Session,https://www.abstractsonline.com/pp8/#!/20272/session/511
ED50. Evolving Insights on the Microbiome in Cancer,504,Room 30 - Upper Level - Convention Center,Educational Session,https://www.abstractsonline.com/pp8/#!/20272/session/504
ED04. Chemistry to the Clinic Part 1 of 3: Targeted Protein Degraders: Delivering Degraders to the Site of Action,474,Ballroom 6 B - Upper Level - Convention Center,Educational Session,https://www.abstractsonline.com/pp8/#!/20272/session/474
ED27. Implementing Alternative Manufacturing and Delivery Models to Improve Access to CAR-T Therapy,528,Ballroom 20 AB - Upper Level - Convention Center,Educational Session,https://www.abstractsonline.com/pp8/#!/20272/session/528
ED37. A Systems Approach to Cancer Early Detection,517,Ballroom 6 A - Upper Level - Convention Center,Educational Session,https://www.abstractsonline.com/pp8/#!/20272/session/517
ED46. Organoid Models of Human Cancer Evolution,508,Ballroom 20 CD - Upper Level - Convention Center,Educational Session,https://www.abstractsonline.com/pp8/#!/20272/session/508
ED01. Data Science Opportunities and Challenges in Biomarker-based Early Detection of Cancer,468,Room 6 CF - Upper Level - Convention Center,Educational Session,https://www.abstractsonline.com/pp8/#!/20272/session/468
ED03. Chemo-proteomics Approaches in Drug Discovery,473,Room 31 - Upper Level - Convention Center,Educational Session,https://www.abstractsonline.com/pp8/#!/20272/session/473
ED19. Illuminating the Genomic “Dark Matter” in Cancer: The Role of Non-Coding Elements in Cancer and Aging,520,Room 30 - Upper Level - Convention Center,Educational Session,https://www.abstractsonline.com/pp8/#!/20272/session/520
ED21. A Decade of Cancer Vaccines: Dedicated to the Memory of Harald zur Hausen,522,Ballroom 20 CD - Upper Level - Convention Center,Educational Session,https://www.abstractsonline.com/pp8/#!/20272/session/522
ED25. Beyond CD8 T Cells: Targeting CD4 T Cells in Cancer,526,Ballroom 20 AB - Upper Level - Convention Center,Educational Session,https://www.abstractsonline.com/pp8/#!/20272/session/526
ED32. Existing and Emerging Cohort Study Resources for Future Discoveries,534,Room 11 - Upper Level - Convention Center,Educational Session,https://www.abstractsonline.com/pp8/#!/20272/session/534
ED35. Development and Evaluation of Drug Response Predictors for Precision Oncology,537,Ballroom 6 A - Upper Level - Convention Center,Educational Session,https://www.abstractsonline.com/pp8/#!/20272/session/537
ED38. Gene-Environment Interactions Driving Carcinogenesis,516,Room 33 - Upper Level - Convention Center,Educational Session,https://www.abstractsonline.com/pp8/#!/20272/session/516
ED40. Theranostics: The Nuts and Bolts,514,Room 6 DE - Upper Level - Convention Center,Educational Session,https://www.abstractsonline.com/pp8/#!/20272/session/514
ED47. Lineage Plasticity in Tumor Evolution and Acquired Resistance,507,Ballroom 6 B - Upper Level - Convention Center,Educational Session,https://www.abstractsonline.com/pp8/#!/20272/session/507
ED53. Team Science: How to Form and Manage a Multidisciplinary Cancer Research Team,666,Room 5 - Upper Level - Convention Center,Educational Session,https://www.abstractsonline.com/pp8/#!/20272/session/666
DC01. Navigating Laboratory Developed Tests in Oncology: Emerging Needs and Opportunities,44,Room 1 - Upper Level - Convention Center,Educational Session,https://www.abstractsonline.com/pp8/#!/20272/session/44
ED08. Stressing Out About Treatment Resistance: Progress and Challenges,481,Ballroom 6 B - Upper Level - Convention Center,Educational Session,https://www.abstractsonline.com/pp8/#!/20272/session/481
ED11. Race and Genetic Ancestry in Research: Leveraging Value While Avoiding Harms,484,Room 6 DE - Upper Level - Convention Center,Educational Session,https://www.abstractsonline.com/pp8/#!/20272/session/484
ED15. Entrepreneurship: Interacting with Regulatory Agencies,488,Room 5 - Upper Level - Convention Center,Educational Session,https://www.abstractsonline.com/pp8/#!/20272/session/488
ED24. Tumor Immunology and Immunotherapy for Non-Immunologists Session: Strategies for Enhancing Adoptive Cellular Immunotherapy and Reprogramming the Tumor Microenvironment,525,Ballroom 20 CD - Upper Level - Convention Center,Educational Session,https://www.abstractsonline.com/pp8/#!/20272/session/525
ED28. The Emerging Role of Liquid Biopsies in the Cancer Care Continuum,530,Ballroom 20 AB - Upper Level - Convention Center,Educational Session,https://www.abstractsonline.com/pp8/#!/20272/session/530
ED29. The Reimagined Cell Cycle in 2024: Implications for Cancer,531,Room 6 CF - Upper Level - Convention Center,Educational Session,https://www.abstractsonline.com/pp8/#!/20272/session/531
ED42. Understanding and Improving Replicability in Cancer Biology,512,Room 30 - Upper Level - Convention Center,Educational Session,https://www.abstractsonline.com/pp8/#!/20272/session/512
ED44. Host Predisposing Stroma in Cancer Development and Progression,510,Ballroom 6 A - Upper Level - Convention Center,Educational Session,https://www.abstractsonline.com/pp8/#!/20272/session/510
DC06. Rethinking Risk and Risk Assessment for Liquid Biopsy-Based Single- and Multi-Cancer Screening,49,Room 1 - Upper Level - Convention Center,Educational Session,https://www.abstractsonline.com/pp8/#!/20272/session/49
ED05. Chemistry to the Clinic Part 2 of 3: Considerations in the Discovery of Small Molecules Targeting RNA,476,Room 6 CF - Upper Level - Convention Center,Educational Session,https://www.abstractsonline.com/pp8/#!/20272/session/476
ED14. The Road to Entrepreneurship,487,Room 5 - Upper Level - Convention Center,Educational Session,https://www.abstractsonline.com/pp8/#!/20272/session/487
ED16. Roles for Genomic Repeats and Transposable Elements in Tumor Biology and Implications for Therapy.,489,Room 2 - Upper Level - Convention Center,Educational Session,https://www.abstractsonline.com/pp8/#!/20272/session/489
"ED18. Germline Genetic Testing in Cancer: Who, What and When?",519,Room 33 - Upper Level - Convention Center,Educational Session,https://www.abstractsonline.com/pp8/#!/20272/session/519
ED23. The Good and the Bad of Myeloid Cells in Cancer,524,Ballroom 6 B - Upper Level - Convention Center,Educational Session,https://www.abstractsonline.com/pp8/#!/20272/session/524
ED34. Dissecting the Landscape of Genotype-Matched Precision Oncology:  Preclinical and Clinical Applications,536,Room 29 - Upper Level - Convention Center,Educational Session,https://www.abstractsonline.com/pp8/#!/20272/session/536
ED36. Therapeutic and Surgical De-escalation Studies: The Next Challenge in Precision Oncology,518,Ballroom 20 AB - Upper Level - Convention Center,Educational Session,https://www.abstractsonline.com/pp8/#!/20272/session/518
ED48. &nbsp; Metabolic Dependencies and Adaptations in Cancer,506,Room 31 - Upper Level - Convention Center,Educational Session,https://www.abstractsonline.com/pp8/#!/20272/session/506
ED49. Clonal Hematopoiesis: Translational and Clinical Updates and Implications ,505,Room 6 DE - Upper Level - Convention Center,Educational Session,https://www.abstractsonline.com/pp8/#!/20272/session/505
DC02. FDA&rsquo;s Project Endpoint and Overall Survival in Oncology Clinical Trials,45,Room 1 - Upper Level - Convention Center,Educational Session,https://www.abstractsonline.com/pp8/#!/20272/session/45
ED06. Chemistry to the Clinic Part 3 of 3: From Virtual Screening to Generative Design: Digital Approaches in Cancer Drug Discovery,479,Room 6 DE - Upper Level - Convention Center,Educational Session,https://www.abstractsonline.com/pp8/#!/20272/session/479
ED07. Spontaneous Cancers of Companion Animals as Clinically Relevant Models for Advancing Human Oncology,480,Room 29 - Upper Level - Convention Center,Educational Session,https://www.abstractsonline.com/pp8/#!/20272/session/480
"ED10. Genetic Ancestry, Tumor Subtype and Somatic Genomic Landscape",483,Room 31 - Upper Level - Convention Center,Educational Session,https://www.abstractsonline.com/pp8/#!/20272/session/483
ED13. New Targets and Mechanisms of Synthetic Lethality in Cancer Therapy,486,Room 11 - Upper Level - Convention Center,Educational Session,https://www.abstractsonline.com/pp8/#!/20272/session/486
ED17. How Do Epigenetic Modifiers Shape Immune Responses Against Cancer?,490,Room 6 CF - Upper Level - Convention Center,Educational Session,https://www.abstractsonline.com/pp8/#!/20272/session/490
ED20. Cell Therapies for Solid Tumors,521,Ballroom 20 CD - Upper Level - Convention Center,Educational Session,https://www.abstractsonline.com/pp8/#!/20272/session/521
ED26. Targeting Dendritic Cells in Cancer Immunotherapy,527,Ballroom 6 B - Upper Level - Convention Center,Educational Session,https://www.abstractsonline.com/pp8/#!/20272/session/527
ED39. PSA Reboot: Why Prostate Cancer Screening is Not What it Used to be and How it Has Changed,515,Room 33 - Upper Level - Convention Center,Educational Session,https://www.abstractsonline.com/pp8/#!/20272/session/515
ED41. Impact of Scientific and Technological Advances on Radiation Oncology: Challenges and Opportunities in Patient Care,513,Room 5 - Upper Level - Convention Center,Educational Session,https://www.abstractsonline.com/pp8/#!/20272/session/513
ED45. Cancer Phylogenetics,509,Room 2 - Upper Level - Convention Center,Educational Session,https://www.abstractsonline.com/pp8/#!/20272/session/509
ESP1A. Digital PCR applications for oncology research: methylation analysis and variant detection,565,Spotlight Theater A - Sails Pavilion - Conv Ctr,Exhibitor Spotlight Presentation,https://www.abstractsonline.com/pp8/#!/20272/session/565
"ESP1B. PDX &ndash; Predictive Tumor Models to Accelerate Your Preclinical Research in Vivo, in Vitro and in Silico (Sponsored by Charles River)",566,Spotlight Theater B - Sails Pavilion - Conv Ctr,Exhibitor Spotlight Presentation,https://www.abstractsonline.com/pp8/#!/20272/session/566
ESP1C. A New Era of Discovery Power: From comprehensive microenvironment characterization to multiomic liquid biopsy,672,,Exhibitor Spotlight Presentation,https://www.abstractsonline.com/pp8/#!/20272/session/672
"ESP1D. Customer Success in Liquid Biopsy with Complete Workflow Solutions: Pre-analytic Sample Prep, Assay Validation, Concordance Studies and Routine Performance Monitoring",580,Spotlight Theater D - Sails Pavilion - Conv Ctr,Exhibitor Spotlight Presentation,https://www.abstractsonline.com/pp8/#!/20272/session/580
ESP1E. Discovering novel causes and biomarkers of cancer through high dimensional proteomics within a large-scale prospective cohort,570,Spotlight Theater E - Sails Pavilion - Conv Ctr,Exhibitor Spotlight Presentation,https://www.abstractsonline.com/pp8/#!/20272/session/570
ESP2D. FcResolv™ NOG: Eliminating Murine Fc Gamma Receptor Interference in Antibody-Based Drug Discovery,574,Spotlight Theater D - Sails Pavilion - Conv Ctr,Exhibitor Spotlight Presentation,https://www.abstractsonline.com/pp8/#!/20272/session/574
ESP2E. Novel technologies for precision medicine: Agilent Avida targeted sequencing and Claudin 18.2 IHC assay for Transcenta Therapeutics’ Osemitamab program,653,Spotlight Theater E - Sails Pavilion - Conv Ctr,Exhibitor Spotlight Presentation,https://www.abstractsonline.com/pp8/#!/20272/session/653
ESP3A. The Evolution of a Multi-biomarker Class Approach for Multi-cancer Early Detection Testing,567,Spotlight Theater A - Sails Pavilion - Conv Ctr,Exhibitor Spotlight Presentation,https://www.abstractsonline.com/pp8/#!/20272/session/567
"ESP3B. AI Powered Precision Oncology: Leveraging Diagnostics, Data and AI to Drive Next-Generation Drug Development",657,Spotlight Theater B - Sails Pavilion - Conv Ctr,Exhibitor Spotlight Presentation,https://www.abstractsonline.com/pp8/#!/20272/session/657
ESP3C. Amping up Your Predictive Power: How Organoid Models are Leading the Way in Colon and Pancreatic Cancer Precision Medicine Approaches,655,Spotlight Theater C - Sails Pavilion - Conv Ctr,Exhibitor Spotlight Presentation,https://www.abstractsonline.com/pp8/#!/20272/session/655
ESP3D. Empowering Cancer Research: Liquid Biopsy and Neoantigen Discovery for Cancer Immunotherapy,571,Spotlight Theater D - Sails Pavilion - Conv Ctr,Exhibitor Spotlight Presentation,https://www.abstractsonline.com/pp8/#!/20272/session/571
ESP3E. From Genomic Insights to Clinical Solutions: The Role of 3D Genomics in Cancer Research and Diagnostics,673,Spotlight Theater E - Sails Pavilion - Conv Ctr,Exhibitor Spotlight Presentation,https://www.abstractsonline.com/pp8/#!/20272/session/673
ESP4A. Comprehensive somatic variant detection with accurate long- and short-read sequencing,579,Spotlight Theater A - Sails Pavilion - Conv Ctr,Exhibitor Spotlight Presentation,https://www.abstractsonline.com/pp8/#!/20272/session/579
ESP4B. Accelerating precision oncology research with nanopore sequencing,650,Spotlight Theater B - Sails Pavilion - Conv Ctr,Exhibitor Spotlight Presentation,https://www.abstractsonline.com/pp8/#!/20272/session/650
"ESP4C. Droplet Digital PCR (ddPCR) Drives Progress in Early Cancer Diagnosis, Personalized Therapy, and MRD",577,Spotlight Theater C - Sails Pavilion - Conv Ctr,Exhibitor Spotlight Presentation,https://www.abstractsonline.com/pp8/#!/20272/session/577
ESP4D. A New View of Spatial Biology – Using Rapid Multiplexed Tissue Imaging to Personalize Cancer Treatments and Introduce a High-Throughput Whole Slide Modality to Profile the Immune Landscape,578,Spotlight Theater D - Sails Pavilion - Conv Ctr,Exhibitor Spotlight Presentation,https://www.abstractsonline.com/pp8/#!/20272/session/578
ESP4E. Next-Generation Solutions in Drug Development: How NeoGenomics can streamline translational medicine from discovery to the clinic,652,Spotlight Theater E - Sails Pavilion - Conv Ctr,Exhibitor Spotlight Presentation,https://www.abstractsonline.com/pp8/#!/20272/session/652
ESP5A. Spatial Biology 2.0: Spatial Insights & Precision Medicine at Unprecedented Scale,581,Spotlight Theater A - Sails Pavilion - Conv Ctr,Exhibitor Spotlight Presentation,https://www.abstractsonline.com/pp8/#!/20272/session/581
"ESP5B.  A Step Toward Precision Medicine, from Biomarker Discovery to Diagnostics and Minimal Residual Disease",651,Spotlight Theater B - Sails Pavilion - Conv Ctr,Exhibitor Spotlight Presentation,https://www.abstractsonline.com/pp8/#!/20272/session/651
ESP5C. Bringing Versatility to Spatial Biomarker Detection,569,Spotlight Theater C - Sails Pavilion - Conv Ctr,Exhibitor Spotlight Presentation,https://www.abstractsonline.com/pp8/#!/20272/session/569
ESP5D. New era in single-cell discovery: Using a single-cell multiomics–based ATAC-seq assay and BD SpectralFX™ Technology image-based sorting to study the interplay between molecular and cellular dynamics in T cell activation,658,Spotlight Theater D - Sails Pavilion - Conv Ctr,Exhibitor Spotlight Presentation,https://www.abstractsonline.com/pp8/#!/20272/session/658
"ESP5E. Introducing the 6-base genome, use duet evoC to discover multimodal insights from your DNA samples",582,Spotlight Theater E - Sails Pavilion - Conv Ctr,Exhibitor Spotlight Presentation,https://www.abstractsonline.com/pp8/#!/20272/session/582
ESP6A. Biomarker Solutions for All: Innovative solid tumor MRD detection and Immune Profiling Solutions for Advanced Drug Development,649,Spotlight Theater A - Sails Pavilion - Conv Ctr,Exhibitor Spotlight Presentation,https://www.abstractsonline.com/pp8/#!/20272/session/649
ESP6B. Highest-Plex Spatial Multi-Omics – Eliminating the Blind Spots in Your Research,562,Spotlight Theater B - Sails Pavilion - Conv Ctr,Exhibitor Spotlight Presentation,https://www.abstractsonline.com/pp8/#!/20272/session/562
ESP6C. Patterns in patients: Why precision medicine needs multimodal data and AI,584,Spotlight Theater C - Sails Pavilion - Conv Ctr,Exhibitor Spotlight Presentation,https://www.abstractsonline.com/pp8/#!/20272/session/584
ESP6D. A novel cancer vaccine based on hyaluronic acid nanogel (HANG) with the ability of leading to “cure” in combination with T cell therapy,586,Spotlight Theater D - Sails Pavilion - Conv Ctr,Exhibitor Spotlight Presentation,https://www.abstractsonline.com/pp8/#!/20272/session/586
ESP6E. Harnessing the Power of Automation:  IDT’s xGen™ kits on the Biomek NGeniuS Next Generation Library Prep System,656,Spotlight Theater E - Sails Pavilion - Conv Ctr,Exhibitor Spotlight Presentation,https://www.abstractsonline.com/pp8/#!/20272/session/656
ESP7B. Same-section Multiomics with MACSima™ Platform - Diving into Spatial Biology to Advance Cancer Therapy,568,Spotlight Theater B - Sails Pavilion - Conv Ctr,Exhibitor Spotlight Presentation,https://www.abstractsonline.com/pp8/#!/20272/session/568
ESP7C. Single-Cell Mapping of Lineage and Phenotype in Human Somatic Evolution,654,Spotlight Theater C - Sails Pavilion - Conv Ctr,Exhibitor Spotlight Presentation,https://www.abstractsonline.com/pp8/#!/20272/session/654
"ESP7D. Presence of myeloid and lymphoid cells are key for translational tumor biology, efficacy and safety assessment in humanized mouse models",587,Spotlight Theater D - Sails Pavilion - Conv Ctr,Exhibitor Spotlight Presentation,https://www.abstractsonline.com/pp8/#!/20272/session/587
ESP7E. Advances in high sensitivity protein detection from biofluids and the potential in early diagnosis and therapeutic monitoring.,585,Spotlight Theater E - Sails Pavilion - Conv Ctr,Exhibitor Spotlight Presentation,https://www.abstractsonline.com/pp8/#!/20272/session/585
ESP8A. Proteomics in Cancer Immunotherapy: Biomarker Discovery and Therapeutic Insights,572,Spotlight Theater A - Sails Pavilion - Conv Ctr,Exhibitor Spotlight Presentation,https://www.abstractsonline.com/pp8/#!/20272/session/572
ESP8B. Adaptive Immune Receptor Profiling for Promising Insights into Potential Therapeutic and Biomarker Targets,583,Spotlight Theater B - Sails Pavilion - Conv Ctr,Exhibitor Spotlight Presentation,https://www.abstractsonline.com/pp8/#!/20272/session/583
"ESP8C. 3D Nuclear, Cellular, Tissue Imaging and Quantification Techniques",674,Spotlight Theater C - Sails Pavilion - Conv Ctr,Exhibitor Spotlight Presentation,https://www.abstractsonline.com/pp8/#!/20272/session/674
ESP8D. Pharmacodynamic in vivo Models for the Discovery and Development of Cancer Therapeutics,575,Spotlight Theater D - Sails Pavilion - Conv Ctr,Exhibitor Spotlight Presentation,https://www.abstractsonline.com/pp8/#!/20272/session/575
ESP8E. In-situ sequencing: enabling spatial biology at scale,576,Spotlight Theater E - Sails Pavilion - Conv Ctr,Exhibitor Spotlight Presentation,https://www.abstractsonline.com/pp8/#!/20272/session/576
LBMS01. Minisymposium: Late-Breaking Research,609,Room 16 - Mezzanine Level - Convention Center,Late-Breaking Minisymposium,https://www.abstractsonline.com/pp8/#!/20272/session/609
"LBPO.BCS01. Late-Breaking Research: Bioinformatics, Computational Biology, Systems Biology, and Convergent Science 1",590,Section 51,Late-Breaking Poster Session,https://www.abstractsonline.com/pp8/#!/20272/session/590
LBPO.CH01. Late-Breaking Research: Chemistry,593,Section 52,Late-Breaking Poster Session,https://www.abstractsonline.com/pp8/#!/20272/session/593
LBPO.ET01. Late-Breaking Research: Experimental and Molecular Therapeutics 1,597,Section 53,Late-Breaking Poster Session,https://www.abstractsonline.com/pp8/#!/20272/session/597
LBPO.IM01. Late-Breaking Research: Immunology 1,601,Section 54,Late-Breaking Poster Session,https://www.abstractsonline.com/pp8/#!/20272/session/601
LBPO.CL01. Late-Breaking Research: Clinical Research 1,594,Section 51,Late-Breaking Poster Session,https://www.abstractsonline.com/pp8/#!/20272/session/594
LBPO.IM02. Late-Breaking Research: Immunology 2,602,Section 52,Late-Breaking Poster Session,https://www.abstractsonline.com/pp8/#!/20272/session/602
LBPO.PS01. Late-Breaking Research: Population Sciences,606,Section 53,Late-Breaking Poster Session,https://www.abstractsonline.com/pp8/#!/20272/session/606
LBPO.ET02. Late-Breaking Research: Experimental and Molecular Therapeutics 2,600,Section 52,Late-Breaking Poster Session,https://www.abstractsonline.com/pp8/#!/20272/session/600
LBPO.MCB01. Late-Breaking Research: Molecular/Cellular Biology and Genetics 1,604,Section 53,Late-Breaking Poster Session,https://www.abstractsonline.com/pp8/#!/20272/session/604
LBPO.TB01. Late-Breaking Research: Tumor Biology 1,607,Section 54,Late-Breaking Poster Session,https://www.abstractsonline.com/pp8/#!/20272/session/607
"LBPO.BCS02. Late-Breaking Research: Bioinformatics, Computational Biology, Systems Biology, and Convergent Science 2",591,Section 51,Late-Breaking Poster Session,https://www.abstractsonline.com/pp8/#!/20272/session/591
LBPO.ET03. Late-Breaking Research: Experimental and Molecular Therapeutics 3,599,Section 52,Late-Breaking Poster Session,https://www.abstractsonline.com/pp8/#!/20272/session/599
LBPO.MCB02. Late-Breaking Research: Molecular/Cellular Biology and Genetics 2,605,Section 53,Late-Breaking Poster Session,https://www.abstractsonline.com/pp8/#!/20272/session/605
LBPO.TB02. Late-Breaking Research: Tumor Biology 2,608,Section 54,Late-Breaking Poster Session,https://www.abstractsonline.com/pp8/#!/20272/session/608
LBPO.CL02. Late-Breaking Research: Clinical Research 2,595,Section 51,Late-Breaking Poster Session,https://www.abstractsonline.com/pp8/#!/20272/session/595
LBPO.IM03. Late-Breaking Research: Immunology 3,603,Section 53,Late-Breaking Poster Session,https://www.abstractsonline.com/pp8/#!/20272/session/603
"LBPO.PR01. Late-Breaking Research: Prevention, Early Detection, and Interception",624,Section 54,Late-Breaking Poster Session,https://www.abstractsonline.com/pp8/#!/20272/session/624
"LBPO.BCS03. Late-Breaking Research: Bioinformatics, Computational Biology, Systems Biology, and Convergent Science 3",592,Section 51,Late-Breaking Poster Session,https://www.abstractsonline.com/pp8/#!/20272/session/592
LBPO.CL03. Late-Breaking Research: Clinical Research 3,596,Section 52,Late-Breaking Poster Session,https://www.abstractsonline.com/pp8/#!/20272/session/596
LBPO.ET04. Late-Breaking Research: Experimental and Molecular Therapeutics 4,598,Section 54,Late-Breaking Poster Session,https://www.abstractsonline.com/pp8/#!/20272/session/598
SY18. Tumor Microbiome,132,Room 28 - Upper Level - Convention Center,Major Symposium,https://www.abstractsonline.com/pp8/#!/20272/session/132
